iter	Passed	Remaining
464	1660	124
465	1663	121
466	1665	117
467	1668	114
468	1671	110
469	1674	106
470	1677	103
471	1679	99
472	1682	96
473	1685	92
474	1687	88
475	1689	85
476	1692	81
477	1694	77
478	1697	74
479	1699	70
480	1702	67
481	1705	63
482	1707	60
483	1710	56
484	1712	52
485	1715	49
486	1717	45
487	1720	42
488	1722	38
489	1725	35
490	1727	31
491	1730	28
492	1734	24
493	1737	21
494	1739	17
495	1742	14
496	1745	10
497	1747	7
498	1750	3
499	1752	0
