iter	RMSE
0	38.15367661
1	37.63058358
2	37.14871374
3	36.6809696
4	36.22536721
5	35.8094162
6	35.33506813
7	34.89745652
8	34.43931597
9	34.01683909
10	33.5931279
11	33.20491964
12	32.78944119
13	32.43630746
14	32.07958744
15	31.72190495
16	31.37597756
17	31.04968341
18	30.70396618
19	30.40734973
20	30.09967895
21	29.81999805
22	29.55123965
23	29.30007343
24	29.0473849
25	28.82271599
26	28.58721638
27	28.35179332
28	28.11754172
29	27.90763161
30	27.68314715
31	27.46192232
32	27.28377917
33	27.09463431
34	26.92224537
35	26.76982399
36	26.61528653
37	26.45862087
38	26.30392159
39	26.17180555
40	26.01785852
41	25.88491817
42	25.75212215
43	25.62298353
44	25.49937533
45	25.37031921
46	25.23750108
47	25.12923043
48	25.01836456
49	24.89213703
50	24.79176878
51	24.68208838
52	24.58258518
53	24.4846669
54	24.39666044
55	24.30464704
56	24.22092483
57	24.1346301
58	24.05577251
59	23.97536744
60	23.89263889
61	23.81971752
62	23.73647138
63	23.67221748
64	23.60568884
65	23.52936105
66	23.45910937
67	23.39662937
68	23.33511636
69	23.27054018
70	23.20653499
71	23.15347192
72	23.09975174
73	23.05038149
74	22.99918574
75	22.94830309
76	22.89908128
77	22.85330816
78	22.80784376
79	22.76113729
80	22.72774687
81	22.68237485
82	22.63376673
83	22.59348532
84	22.55501212
85	22.51984655
86	22.4811503
87	22.43795919
88	22.4328532
89	22.38963189
90	22.35615573
91	22.32166046
92	22.28886474
93	22.27747077
94	22.26380421
95	22.23067993
96	22.22457701
97	22.1883379
98	22.15237978
99	22.14420908
100	22.11038817
101	22.06564964
102	22.01979369
103	21.97746296
104	21.93381467
105	21.90286296
106	21.87850144
107	21.85375992
108	21.84198651
109	21.80764972
110	21.79769726
111	21.76952422
112	21.7428177
113	21.70343115
114	21.68889374
115	21.64511062
116	21.61292627
117	21.57885884
118	21.57205136
119	21.5676752
120	21.5458456
121	21.51764813
122	21.49582919
123	21.47333443
124	21.46439324
125	21.4399222
126	21.427255
127	21.40755432
128	21.38672567
129	21.3622147
130	21.35734279
131	21.33401491
132	21.30925703
133	21.2847377
134	21.25780017
135	21.23603325
136	21.20690078
137	21.20198296
138	21.17979813
139	21.17587521
140	21.15762929
141	21.15420867
142	21.14167843
143	21.13798238
144	21.10876915
145	21.08229722
146	21.07905683
147	21.04696067
148	21.03002664
149	21.01806622
150	20.99251414
151	20.97578143
152	20.96421627
153	20.95382365
154	20.93559209
155	20.91044915
156	20.89473378
157	20.87319743
158	20.86647695
159	20.8609147
