iter	Passed	Remaining
0	281	140531
1	515	128364
2	675	111878
3	844	104769
4	1055	104509
5	1396	114964
6	1610	113406
7	1779	109427
8	1930	105324
9	2145	105140
10	2296	102101
11	2497	101563
12	2713	101650
13	2893	100455
14	3088	99850
15	3282	99290
16	3496	99328
17	3630	97219
18	3753	95024
19	3873	92963
20	4005	91360
21	4243	92199
22	4429	91862
23	4525	89757
24	4622	87836
25	4761	86801
26	4980	87254
27	5229	88149
28	5373	87272
29	5495	86095
30	5609	84865
31	5755	84169
32	5880	83220
33	5974	81882
34	6092	80937
35	6260	80689
36	6413	80254
37	6542	79542
38	6701	79209
39	6921	79594
40	7091	79392
41	7224	78786
42	7371	78343
43	7586	78625
44	7747	78340
45	7893	77901
46	8055	77642
47	8364	78768
48	8497	78213
49	8640	77760
50	8829	77730
51	9042	77904
52	9237	77906
53	9368	77374
54	9563	77380
55	9694	76864
56	9835	76443
57	9978	76040
58	10177	76076
59	10328	75741
60	10464	75307
61	10576	74720
62	10712	74308
63	10829	73775
64	10989	73544
65	11182	73534
66	11367	73465
67	11603	73715
68	11729	73266
69	11858	72844
70	12021	72639
71	12328	73284
72	12539	73345
73	12667	72922
74	12828	72694
75	13051	72813
76	13251	72799
77	13363	72300
78	13478	71831
79	13618	71498
80	13763	71196
81	13914	70931
82	14072	70702
83	14256	70604
84	14393	70275
85	14568	70131
86	14706	69813
87	14904	69782
88	15117	69812
89	15266	69545
90	15414	69281
91	15566	69034
92	15690	68665
93	15828	68365
94	15982	68135
95	16170	68050
96	16422	68230
97	16558	67924
98	16666	67506
99	16795	67183
100	16917	66831
101	17037	66478
102	17125	66007
103	17248	65676
104	17323	65169
105	17446	64847
106	17560	64497
107	17726	64339
108	17865	64088
109	18036	63947
110	18167	63666
111	18315	63448
112	18447	63180
113	18551	62815
114	18690	62573
115	18817	62293
116	18929	61966
117	19084	61781
118	19219	61533
119	19336	61231
120	19451	60925
121	19585	60683
122	19709	60411
123	19842	60168
124	19986	59959
125	20122	59730
126	20275	59549
127	20376	59218
128	20515	59001
129	20629	58714
130	20734	58405
131	20870	58184
132	21081	58172
133	21222	57966
134	21327	57662
135	21467	57458
136	21602	57237
137	21766	57097
138	21839	56721
139	21916	56356
140	22056	56158
141	22161	55870
142	22285	55636
143	22391	55356
144	22538	55180
145	22682	54996
146	22805	54763
147	22919	54510
148	23060	54322
149	23183	54094
150	23312	53881
151	23466	53725
152	23593	53509
153	23738	53334
154	23856	53099
155	24004	52933
156	24138	52735
157	24299	52596
158	24371	52267
159	24479	52019
160	24579	51755
161	24688	51511
162	24797	51267
163	24927	51070
164	25053	50865
165	25138	50579
166	25273	50395
167	25394	50183
168	25598	50137
169	25776	50037
170	25860	49755
171	26004	49590
172	26134	49399
173	26302	49278
174	26450	49123
175	26592	48954
176	26724	48768
177	26809	48498
178	26890	48223
179	27022	48040
180	27143	47838
181	27378	47836
182	27515	47663
183	27651	47488
184	27745	47241
185	27846	47009
186	27997	46862
187	28087	46614
188	28229	46451
189	28381	46306
190	28507	46118
191	28650	45960
192	28809	45826
193	28939	45647
194	29058	45450
195	29191	45275
196	29266	45013
197	29368	44794
198	29428	44512
199	29567	44351
200	29699	44179
201	29818	43989
202	29989	43875
203	30218	43845
204	30413	43766
205	30538	43583
206	30631	43356
207	30759	43181
208	30885	43003
209	31053	42883
210	31178	42704
211	31290	42507
212	31382	42285
213	31491	42086
214	31600	41888
215	31784	41790
216	31921	41629
217	32084	41503
218	32247	41377
219	32353	41177
220	32456	40974
221	32554	40765
222	32696	40614
223	32834	40456
224	33016	40353
225	33129	40165
226	33307	40057
227	33459	39917
228	33651	39823
229	33779	39654
230	33937	39519
231	34066	39353
232	34200	39190
233	34333	39028
234	34513	38920
235	34582	38685
236	34702	38509
237	34846	38360
238	34982	38202
239	35135	38063
240	35270	37904
241	35401	37741
242	35548	37596
243	35684	37439
244	35813	37274
245	35895	37063
246	36042	36917
247	36246	36831
248	36419	36711
249	36565	36565
250	36697	36405
251	36826	36241
252	36987	36109
253	37146	35976
254	37293	35831
255	37434	35680
256	37597	35549
257	37768	35426
258	37938	35301
259	38085	35155
260	38210	34989
261	38331	34820
262	38439	34639
263	38593	34500
264	38762	34374
265	38905	34224
266	39058	34084
267	39219	33951
268	39353	33793
269	39494	33643
270	39625	33484
271	39710	33286
272	39915	33190
273	40080	33058
274	40225	32911
275	40430	32812
276	40579	32668
277	40712	32511
278	40850	32358
279	40994	32209
280	41149	32070
281	41281	31912
282	41429	31767
283	41599	31639
284	41730	31481
285	41861	31323
286	42047	31205
287	42173	31044
288	42344	30915
289	42487	30766
290	42632	30619
291	42784	30476
292	42931	30330
293	43074	30181
294	43204	30023
295	43393	29906
296	43551	29767
297	43670	29601
298	43816	29455
299	43952	29301
300	44098	29155
301	44239	29004
302	44397	28865
303	44540	28717
304	44663	28555
305	44784	28392
306	44922	28241
307	45051	28084
308	45204	27942
309	45299	27764
310	45425	27605
311	45592	27472
312	45790	27357
313	45916	27198
314	46074	27059
315	46258	26935
316	46410	26792
317	46548	26640
318	46673	26482
319	46798	26323
320	46907	26157
321	47069	26019
322	47218	25875
323	47363	25728
324	47562	25610
325	47729	25475
326	47861	25321
327	48017	25179
328	48126	25014
329	48281	24872
330	48426	24725
331	48524	24554
332	48684	24415
333	48826	24267
334	48957	24113
335	49110	23970
336	49227	23810
337	49403	23678
338	49548	23531
339	49653	23366
340	49761	23202
341	49887	23047
342	50037	22903
343	50156	22745
344	50269	22584
345	50372	22420
346	50459	22248
347	50606	22104
348	50771	21966
349	50889	21809
350	50981	21641
351	51116	21492
352	51222	21330
353	51400	21198
354	51581	21068
355	51734	20926
356	51904	20790
357	52036	20640
358	52167	20489
359	52317	20345
360	52543	20231
361	52698	20089
362	52828	19937
363	52957	19786
364	53030	19613
365	53163	19464
366	53267	19304
367	53398	19153
368	53560	19014
369	53669	18856
370	53817	18712
371	53955	18565
372	54098	18419
373	54218	18266
374	54348	18116
375	54500	17973
376	54637	17826
377	54779	17680
378	54895	17526
379	55056	17386
380	55154	17226
381	55323	17089
382	55569	16975
383	55758	16843
384	55898	16697
385	56034	16549
386	56166	16399
387	56305	16253
388	56446	16106
389	56560	15953
390	56691	15803
391	56824	15655
392	56959	15508
393	57072	15354
394	57176	15198
395	57319	15053
396	57440	14902
397	57563	14752
398	57700	14605
399	57767	14441
400	57913	14297
401	58027	14145
402	58150	13996
403	58277	13848
404	58421	13703
405	58497	13543
406	58651	13401
407	58803	13259
408	58966	13119
409	59067	12966
410	59208	12821
411	59351	12676
412	59569	12548
413	59712	12403
414	59803	12248
415	59960	12107
416	60048	11952
417	60204	11810
418	60362	11669
419	60460	11516
420	60587	11369
421	60710	11221
422	60834	11073
423	60989	10931
424	61125	10786
425	61243	10638
426	61374	10492
427	61485	10343
428	61610	10196
429	61760	10054
430	61911	9911
431	62042	9765
432	62151	9616
433	62251	9466
434	62358	9317
435	62471	9170
436	62543	9016
437	62673	8871
438	62795	8725
439	62938	8582
440	63043	8434
441	63164	8288
442	63289	8143
443	63524	8012
444	63676	7870
445	63819	7727
446	63956	7583
447	64088	7438
448	64240	7296
449	64332	7148
450	64490	7006
451	64637	6864
452	64765	6719
453	64939	6579
454	65063	6434
455	65187	6289
456	65264	6140
457	65411	5998
458	65578	5857
459	65775	5719
460	65934	5577
461	66064	5433
462	66175	5288
463	66315	5145
464	66453	5001
465	66538	4854
466	66678	4711
467	66836	4569
468	66974	4426
469	67123	4284
470	67239	4140
471	67398	3998
472	67546	3855
473	67675	3712
474	67826	3569
475	67936	3425
476	68019	3279
477	68153	3136
478	68263	2992
479	68420	2850
480	68510	2706
481	68648	2563
482	68823	2422
483	68956	2279
484	69056	2135
485	69182	1992
486	69299	1849
487	69417	1706
488	69600	1565
489	69740	1423
490	69900	1281
491	70047	1138
492	70158	996
493	70274	853
494	70381	710
495	70455	568
496	70567	425
497	70700	283
498	70876	142
499	70998	0
