iter	RMSE
0	3450.642073
1	3099.640771
2	2830.516302
3	2597.570511
4	2420.61921
5	2274.38382
6	2163.48501
7	2071.544529
8	1987.742863
9	1918.794689
10	1861.912379
11	1819.554561
12	1785.277213
13	1750.393013
14	1722.590497
15	1702.048015
16	1683.660786
17	1672.490084
18	1655.740172
19	1643.542357
20	1634.420046
21	1628.363692
22	1620.052052
23	1613.051102
24	1607.354753
25	1602.47879
26	1597.312246
27	1593.45567
28	1588.102391
29	1584.284631
30	1580.289647
31	1575.952923
32	1572.810497
33	1568.851071
34	1566.812656
35	1564.418893
36	1562.115992
37	1559.102762
38	1555.772143
39	1553.329731
40	1550.461837
41	1548.162379
42	1546.797668
43	1544.530647
44	1542.904087
45	1541.059236
46	1538.43625
47	1536.178038
48	1534.276699
49	1532.070231
50	1530.583075
51	1528.613172
52	1525.621191
53	1524.657348
54	1522.45424
55	1520.96734
56	1519.599089
57	1518.363592
58	1516.318302
59	1514.216661
60	1512.495665
61	1511.015851
62	1509.416434
63	1508.061017
64	1507.325359
65	1506.376196
66	1505.191802
67	1503.717907
68	1502.561403
69	1500.672596
70	1499.751741
71	1498.958626
72	1497.838607
73	1496.906257
74	1495.588438
75	1493.938926
76	1493.005807
77	1491.625743
78	1490.600196
79	1489.760028
80	1488.503721
81	1487.730726
82	1486.735334
83	1485.812149
84	1484.22942
85	1482.926032
86	1481.444059
87	1480.695131
88	1479.428203
89	1478.696988
90	1477.740929
91	1477.11045
92	1476.069124
93	1475.403178
94	1474.848472
95	1473.979706
96	1473.367497
97	1472.698759
98	1472.247481
99	1471.57538
100	1470.947376
101	1470.3194
102	1469.876681
103	1468.663946
104	1467.862235
105	1466.675395
106	1465.672676
107	1464.946048
108	1464.620833
109	1463.950668
110	1462.22546
111	1461.412525
112	1460.587847
113	1459.753021
114	1458.536066
115	1458.082025
116	1457.771385
117	1457.149045
118	1455.910363
119	1454.697455
120	1454.046838
121	1453.447194
122	1452.595238
123	1452.004902
124	1451.279178
125	1450.5927
126	1450.115261
127	1449.448675
128	1448.567622
129	1447.994866
130	1447.654633
131	1447.11774
132	1446.661621
133	1446.146834
134	1445.566928
135	1444.864214
136	1444.243979
137	1443.702017
138	1443.374415
139	1443.081945
140	1442.722109
141	1442.283462
142	1441.8498
143	1441.432227
144	1440.745687
145	1440.10487
146	1439.652626
147	1439.462524
148	1438.920711
149	1438.490882
150	1437.989799
151	1437.164871
152	1436.731941
153	1435.979747
154	1435.548633
155	1434.904587
156	1434.315111
157	1433.871302
158	1433.852432
159	1433.585721
160	1433.424672
161	1432.974571
162	1432.808933
163	1432.388554
164	1432.060386
165	1431.526605
166	1430.924385
167	1430.764996
168	1430.396279
169	1430.055625
170	1429.768593
171	1429.376605
172	1429.137674
173	1428.69933
174	1428.463229
175	1428.296274
176	1427.31354
177	1427.050909
178	1427.048489
179	1426.691106
180	1426.114104
181	1425.61429
182	1425.233275
183	1424.92768
184	1424.857884
185	1424.511552
186	1424.287353
187	1424.222584
188	1423.789138
189	1423.473378
190	1422.837199
191	1422.491742
192	1422.097884
193	1421.690666
194	1421.396889
195	1421.07653
196	1421.022482
197	1420.302939
198	1420.302163
199	1420.007757
200	1419.446791
201	1418.902976
202	1418.497975
203	1418.243043
204	1417.992451
205	1417.440354
206	1417.007072
207	1416.404712
208	1416.06752
209	1415.697087
210	1415.353797
211	1415.18153
212	1414.789931
213	1414.084072
214	1413.90316
215	1413.36037
216	1413.260712
217	1412.874808
218	1412.42526
219	1412.245003
220	1412.156167
221	1412.094603
222	1411.581004
223	1411.249989
224	1411.023988
225	1410.75282
226	1410.38876
227	1409.867977
228	1409.448954
229	1409.270343
230	1408.891366
231	1408.726913
232	1408.383735
233	1408.017918
234	1407.68836
235	1407.686862
236	1407.563204
237	1407.072108
238	1406.902906
239	1406.483945
240	1406.265782
241	1405.839299
242	1405.270934
243	1405.246055
244	1404.977762
245	1404.362447
246	1404.135858
247	1403.948092
248	1403.726908
249	1403.56918
250	1403.13878
251	1402.78849
252	1402.157738
253	1401.807918
254	1401.507945
255	1401.228816
256	1400.930309
257	1400.844093
258	1400.608628
259	1400.554936
260	1400.496134
261	1400.292493
262	1400.136706
263	1399.861037
264	1399.641241
265	1399.425652
266	1399.097053
267	1398.845458
268	1398.50458
269	1398.199074
270	1398.001884
271	1397.997266
272	1397.676682
273	1397.413171
274	1396.883168
275	1396.462237
276	1396.113121
277	1395.904031
278	1395.672953
279	1395.432217
280	1395.388326
281	1395.253591
282	1395.140923
283	1394.888834
284	1394.791089
285	1394.697574
286	1394.384432
287	1394.098002
288	1393.886895
289	1393.651316
290	1393.347351
291	1393.072527
292	1392.817086
293	1392.512115
294	1392.355651
295	1392.166826
296	1391.913944
297	1391.426562
298	1391.184922
299	1390.805733
300	1390.732839
301	1390.574886
302	1390.429027
303	1390.159134
304	1390.095169
305	1389.771665
306	1389.512461
307	1389.321725
308	1389.122406
309	1389.010662
310	1388.728608
311	1388.484099
312	1388.208016
313	1388.108374
314	1387.842621
315	1387.493085
316	1387.402261
317	1387.211283
318	1387.069779
319	1386.870872
320	1386.731332
321	1386.657034
322	1386.400377
323	1386.278423
324	1385.934674
325	1385.731609
326	1385.413707
327	1385.074045
328	1385.056633
329	1384.869785
330	1384.683955
331	1384.657066
332	1384.39946
333	1384.283797
334	1384.146227
335	1383.915962
336	1383.63593
337	1383.598165
338	1383.297699
339	1383.176014
340	1383.089165
341	1383.016368
342	1382.873125
343	1382.636168
344	1382.486714
345	1382.227999
346	1382.05336
347	1381.892923
348	1381.84286
349	1381.726074
350	1381.604478
351	1381.291833
352	1381.052017
353	1380.766014
354	1380.561123
355	1380.428946
356	1380.231081
357	1379.984109
358	1379.91791
359	1379.860369
360	1379.741435
361	1379.668661
362	1379.186432
363	1378.996739
364	1378.937342
365	1378.798292
366	1378.66728
367	1378.490381
368	1378.352847
369	1378.172253
370	1377.906107
371	1377.534733
372	1377.363485
373	1377.291509
374	1377.059046
375	1376.914945
376	1376.836221
377	1376.655229
378	1376.44791
379	1376.305752
380	1375.96459
381	1375.833752
382	1375.635172
383	1375.531088
384	1375.349689
385	1375.127247
386	1374.991827
387	1374.808009
388	1374.58313
389	1374.524995
390	1374.201769
391	1373.908239
392	1373.793364
393	1373.746855
394	1373.572219
395	1373.548328
396	1373.394868
397	1373.224693
398	1373.067666
399	1373.060942
400	1372.979114
401	1372.950239
402	1372.856756
403	1372.705259
404	1372.5735
405	1372.49583
406	1372.260075
407	1371.973756
408	1371.869833
409	1371.753227
410	1371.318119
411	1371.100621
412	1370.996544
413	1370.878368
414	1370.835064
415	1370.718734
416	1370.610817
417	1370.418983
418	1370.164363
419	1370.10926
420	1369.940557
421	1369.769941
422	1369.470182
423	1369.306544
424	1369.235669
425	1369.192839
426	1369.110582
427	1368.819474
428	1368.532266
429	1368.385259
430	1368.077891
431	1367.903005
432	1367.826941
433	1367.581067
434	1367.487448
435	1367.280129
436	1367.261585
437	1367.235765
438	1367.173016
439	1366.928637
440	1366.878115
441	1366.669438
442	1366.413225
443	1366.279243
444	1366.06254
445	1365.791617
446	1365.728431
447	1365.548646
448	1365.431858
449	1365.285694
450	1365.125883
451	1365.062382
452	1364.964754
453	1364.814962
454	1364.556681
455	1364.324114
456	1364.280501
457	1364.108864
458	1364.013221
459	1363.890515
460	1363.809768
461	1363.574972
462	1363.469567
463	1363.29035
464	1363.132942
465	1363.100816
466	1363.017411
467	1362.879076
468	1362.70406
469	1362.554662
470	1362.526928
471	1362.481726
472	1362.444505
473	1362.421014
474	1362.234305
475	1362.212543
476	1362.092309
477	1362.029917
478	1361.97774
479	1361.834009
480	1361.753592
481	1361.648457
482	1361.563649
483	1361.484354
484	1361.247929
485	1361.052171
486	1360.947584
487	1360.850802
488	1360.751644
489	1360.722124
490	1360.520675
491	1360.403426
492	1360.279695
493	1360.274251
494	1360.236666
495	1360.21345
496	1360.101509
497	1360.071989
498	1359.898136
499	1359.725668
